Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12146,8/16/2022,-0.057692333,-0.030600795,-0.0305647,21,100
Market-Adjusted Model,12166,8/16/2022,-0.092436957,-0.062880534,-0.065309324,21,100
Market-Adjusted Model,12189,8/16/2022,0.049736797,0.077824405,0.07686443,21,100
Market-Adjusted Model,12209,8/16/2022,0.160263624,0.22662893,0.187391257,21,100
Market-Adjusted Model,12211,8/16/2022,0.019810564,0.04851462,0.046938197,21,100
Market-Adjusted Model,12219,8/16/2022,-0.01762489,0.008655166,0.009502743,21,100
Market-Adjusted Model,12226,8/16/2022,0.024868023,0.054034522,0.051995656,21,100
Market-Adjusted Model,12266,8/16/2022,-0.10778134,-0.07652983,-0.080653707,21,100
Market-Adjusted Model,12287,8/16/2022,0.040951681,0.067072757,0.068079314,21,100
Market-Adjusted Model,12289,8/16/2022,-0.030519033,-0.004815485,-0.0033914,21,100
Market-Adjusted Model,12292,8/16/2022,0.021686294,0.049207633,0.048813927,21,100
Market-Adjusted Model,12294,8/16/2022,-0.042567996,-0.015229018,-0.015440363,21,100
Market-Adjusted Model,12295,8/16/2022,-0.019095177,0.007484291,0.008032457,21,100
Market-Adjusted Model,12296,8/16/2022,-0.035069958,-0.008114526,-0.007942325,21,100
Market-Adjusted Model,12297,8/16/2022,-0.040559014,-0.013276948,-0.01343138,21,100
Market-Adjusted Model,12301,8/16/2022,-0.036543793,-0.009431571,-0.00941616,21,100
Market-Adjusted Model,12302,8/16/2022,-0.020516544,0.006565867,0.006611089,21,100
Market-Adjusted Model,12303,8/16/2022,-0.027645281,-0.000108196,-0.000517648,21,100
Market-Adjusted Model,12304,8/16/2022,-0.024902836,0.002345009,0.002224797,21,100
Market-Adjusted Model,12305,8/16/2022,-0.030769217,-0.003863748,-0.003641584,21,100
Market-Adjusted Model,12307,8/16/2022,0.556149792,0.641329237,0.583277425,21,100
Market-Adjusted Model,12308,8/16/2022,-0.0399709,-0.010461871,-0.012843267,21,100
Market-Adjusted Model,12310,8/16/2022,-0.075630283,0.005179927,-0.04850265,21,100
Market-Adjusted Model,12313,8/16/2022,-0.028217182,-0.00120054,-0.001089548,21,100
Market-Adjusted Model,12314,8/16/2022,-0.035941511,-0.008610974,-0.008813878,21,100
Market-Adjusted Model,12315,8/16/2022,-0.020864214,0.005885515,0.006263419,21,100
Market-Adjusted Model,12316,8/16/2022,-0.029994551,-0.003062699,-0.002866918,21,100
Market-Adjusted Model,12317,8/16/2022,-0.005092206,0.023473574,0.022035427,21,100
Market-Adjusted Model,12318,8/16/2022,-0.012716907,0.015276022,0.014410727,21,100
Market-Adjusted Model,12321,8/16/2022,-0.025357004,0.002056073,0.001770629,21,100
Market-Adjusted Model,12325,8/16/2022,0.057161581,0.097609931,0.084289215,21,100
Market-Adjusted Model,12326,8/16/2022,-0.049726953,-0.023978669,-0.02259932,21,100
Market-Adjusted Model,12329,8/16/2022,-0.088271656,-0.065332386,-0.061144023,21,100
Market-Adjusted Model,12331,8/16/2022,-0.03941663,-0.013892368,-0.012288997,21,100
Market-Adjusted Model,12332,8/16/2022,0.223140478,0.24915876,0.250268111,21,100
Market-Adjusted Model,12333,8/16/2022,0.025357261,0.056606303,0.052484894,21,100
Market-Adjusted Model,12334,8/16/2022,-0.040071906,-0.01381987,-0.012944273,21,100
Market-Adjusted Model,12338,8/16/2022,-0.077697839,-0.052355668,-0.050570206,21,100
Market-Adjusted Model,12339,8/16/2022,0.368763497,0.361858495,0.39589113,21,100
Market-Adjusted Model,12341,8/16/2022,0.001093833,0.027310546,0.028221467,21,100
Market-Adjusted Model,12345,8/16/2022,-0.025123803,0.003732465,0.00200383,21,100
Market-Adjusted Model,12350,8/16/2022,-0.266928135,-0.260946197,-0.239800502,21,100
Market-Adjusted Model,12355,8/16/2022,-0.031669546,-0.00430789,-0.004541913,21,100
Market-Adjusted Model,12358,8/16/2022,-0.069692379,0.027062961,-0.042564746,21,100
Market-Adjusted Model,12360,8/16/2022,0.246085109,0.322362605,0.273212743,21,100
Market-Adjusted Model,12363,8/16/2022,0.054502377,0.089844516,0.08163001,21,100
Market-Adjusted Model,12366,8/16/2022,0.000711951,0.027486608,0.027839584,21,100
Market-Adjusted Model,12367,8/16/2022,-0.146491245,-0.115019995,-0.119363612,21,100
Market-Adjusted Model,12368,8/16/2022,-0.030199318,-0.004343588,-0.003071685,21,100
Market-Adjusted Model,12369,8/16/2022,0.066630423,0.095572078,0.093758056,21,100
Market-Adjusted Model,12370,8/16/2022,-0.107715741,-0.083729817,-0.080588108,21,100
Market-Adjusted Model,12372,8/16/2022,0.112060808,0.144904362,0.139188442,21,100
Market-Adjusted Model,12373,8/16/2022,-0.072631338,-0.044446188,-0.045503705,21,100
Market-Adjusted Model,12376,8/16/2022,0.015439441,0.043639165,0.042567075,21,100
Market-Adjusted Model,12377,8/16/2022,0.060012214,0.114155867,0.087139847,21,100
Market-Adjusted Model,12380,8/16/2022,0.072796953,0.104889399,0.099924586,21,100
Market-Adjusted Model,12385,8/16/2022,-0.040880539,-0.014616892,-0.013752906,21,100
Market-Adjusted Model,12391,8/16/2022,-0.045879429,-0.015336956,-0.018751796,21,100
Market-Adjusted Model,12397,8/16/2022,0.009433949,0.044199076,0.036561582,21,100
Market-Adjusted Model,12400,8/16/2022,0.075713439,0.101493684,0.102841072,21,100
Market-Adjusted Model,12411,8/16/2022,0.027272707,0.059459837,0.05440034,21,100
Market-Adjusted Model,12412,8/16/2022,-0.051114027,-0.025684631,-0.023986394,21,100
Market-Adjusted Model,12431,8/16/2022,0.06011228,0.087593032,0.087239914,21,100
Market-Adjusted Model,12437,8/16/2022,0.000986121,0.026981144,0.028113754,21,100
Market-Adjusted Model,12442,8/16/2022,0.161593582,0.192047404,0.188721215,21,100
Market-Adjusted Model,12443,8/16/2022,-0.168113187,-0.140697234,-0.140985553,21,100
Market-Adjusted Model,12447,8/16/2022,-0.054990947,-0.017371848,-0.027863314,21,100
Market-Adjusted Model,12448,8/16/2022,-0.057149887,-0.030481495,-0.030022254,21,100
Market-Adjusted Model,12449,8/16/2022,-0.031908639,-0.004032028,-0.004781006,21,100
Market-Adjusted Model,12452,8/16/2022,-0.227502564,-0.206426295,-0.200374931,21,100
Market-Adjusted Model,12453,8/16/2022,-0.009529435,0.016192067,0.017598198,21,100
Market-Adjusted Model,12457,8/16/2022,0.028351763,0.055101189,0.055479397,21,100
Market-Adjusted Model,12461,8/16/2022,-0.040102482,-0.013888651,-0.012974849,21,100
Market-Adjusted Model,12462,8/16/2022,-0.059843345,-0.034795883,-0.032715712,21,100
Market-Adjusted Model,12472,8/16/2022,-0.011022148,0.018157316,0.016105486,21,100
Market-Adjusted Model,12473,8/16/2022,-0.041340805,-0.013924934,-0.014213172,21,100
Market-Adjusted Model,12476,8/16/2022,-0.004676989,0.027580313,0.022450644,21,100
Market-Adjusted Model,12477,8/16/2022,-0.0896765,-0.064325685,-0.062548867,21,100
Market-Adjusted Model,12480,8/16/2022,0.018796929,0.046640636,0.045924562,21,100
Market-Adjusted Model,12487,8/16/2022,-0.030082526,-0.000179793,-0.002954893,21,100
Market-Adjusted Model,12488,8/16/2022,-0.165605164,-0.1306111,-0.138477531,21,100
Market-Adjusted Model,12490,8/16/2022,-0.006123821,0.020781899,0.021003812,21,100
Market-Adjusted Model,12495,8/16/2022,-0.170124511,-0.151678573,-0.142996878,21,100
Market-Adjusted Model,12497,8/16/2022,-0.079601971,-0.050786299,-0.052474338,21,100
Market-Adjusted Model,12500,8/16/2022,-0.18527781,0.068988303,-0.158150177,21,100
Market-Adjusted Model,12502,8/16/2022,0.314786593,0.319641216,0.341914226,21,100
Market-Adjusted Model,12505,8/16/2022,-0.085395464,-0.062510907,-0.058267831,21,100
Market-Adjusted Model,12508,8/16/2022,-0.038432682,-0.012441868,-0.011305049,21,100
Market-Adjusted Model,12510,8/16/2022,-0.013356797,0.018849326,0.013770836,21,100
Market-Adjusted Model,12513,8/16/2022,-0.062624954,-0.037037571,-0.035497321,21,100
Market-Adjusted Model,12514,8/16/2022,-0.0017694,0.024768988,0.025358233,21,100
Market-Adjusted Model,12515,8/16/2022,-0.032417011,-0.004958215,-0.005289378,21,100
Market-Adjusted Model,12516,8/16/2022,0.000632245,0.02718592,0.027759878,21,100
Market-Adjusted Model,12523,8/16/2022,-0.023551476,0.003122169,0.003576157,21,100
Market-Adjusted Model,12527,8/16/2022,0.214039584,0.246941486,0.241167217,21,100
Market-Adjusted Model,12528,8/16/2022,0.110241001,0.136482038,0.137368635,21,100
Market-Adjusted Model,12530,8/16/2022,0.012066298,0.039875534,0.039193931,21,100
Market-Adjusted Model,12531,8/16/2022,-0.012607807,0.026364739,0.014519827,21,100
Market-Adjusted Model,12533,8/16/2022,-0.003283214,0.024391344,0.023844419,21,100
Market-Adjusted Model,12534,8/16/2022,-0.020815706,0.009350274,0.006311928,21,100
Market-Adjusted Model,12535,8/16/2022,-0.018832326,0.00850495,0.008295308,21,100
Market-Adjusted Model,12536,8/16/2022,-0.046737192,-0.020802089,-0.019609558,21,100
Market-Adjusted Model,12537,8/16/2022,-0.007780993,0.018387395,0.01934664,21,100
Market-Adjusted Model,12540,8/16/2022,0.154130703,0.178876084,0.181258336,21,100
