Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,11664,2022-08-16,-0.264716498,-0.267572605,-0.237588865,21,100
Market-Adjusted Model,11674,2022-08-16,0.0078975524,0.0343774788,0.0350251856,21,100
Market-Adjusted Model,11691,2022-08-16,-0.192017335,-0.176356178,-0.164889702,21,100
Market-Adjusted Model,11701,2022-08-16,-0.074574482,-0.049126601,-0.047446848,21,100
Market-Adjusted Model,11731,2022-08-16,-0.019607851,0.0086147976,0.0075197817,21,100
Market-Adjusted Model,11748,2022-08-16,-0.162344995,-0.142266009,-0.135217362,21,100
Market-Adjusted Model,11752,2022-08-16,-0.095993924,-0.067589618,-0.068866291,21,100
Market-Adjusted Model,11762,2022-08-16,-0.050883598,-0.023915988,-0.023755965,21,100
Market-Adjusted Model,11775,2022-08-16,-0.068637527,-0.038870492,-0.041509894,21,100
Market-Adjusted Model,11786,2022-08-16,0.025603026,0.0601117399,0.0527306591,21,100
Market-Adjusted Model,11790,2022-08-16,-0.054616061,-0.024216725,-0.027488428,21,100
Market-Adjusted Model,11803,2022-08-16,-0.098073544,-0.071933756,-0.070945911,21,100
Market-Adjusted Model,11809,2022-08-16,0.2045222592,0.2205722551,0.2316498923,21,100
Market-Adjusted Model,11825,2022-08-16,0.3331670979,0.3489627198,0.360294731,21,100
Market-Adjusted Model,11844,2022-08-16,-0.033628713,-0.007589212,-0.00650108,21,100
Market-Adjusted Model,11845,2022-08-16,-0.201817867,-0.192258147,-0.174690234,21,100
Market-Adjusted Model,11850,2022-08-16,0.0289950957,0.0590374776,0.0561227288,21,100
Market-Adjusted Model,11884,2022-08-16,-0.050324312,-0.022813365,-0.023196679,21,100
Market-Adjusted Model,11891,2022-08-16,0.0036540446,0.0346631935,0.0307816777,21,100
Market-Adjusted Model,11955,2022-08-16,0.0451150545,0.0705510933,0.0722426877,21,100
Market-Adjusted Model,11990,2022-08-16,-0.084502425,-0.054748831,-0.057374792,21,100
Market-Adjusted Model,11995,2022-08-16,-0.062347655,-0.037004695,-0.035220021,21,100
Market-Adjusted Model,11996,2022-08-16,-0.007389175,0.0188408847,0.0197384579,21,100
Market-Adjusted Model,12008,2022-08-16,0.0740456252,0.1011692912,0.1011732583,21,100
Market-Adjusted Model,12009,2022-08-16,0.0677419472,0.1017689432,0.0948695803,21,100
Market-Adjusted Model,12015,2022-08-16,0.0388989386,0.0669941255,0.0660265717,21,100
Market-Adjusted Model,12017,2022-08-16,0.3333333239,0.3497930955,0.360460957,21,100
Market-Adjusted Model,12034,2022-08-16,-0.033141212,-0.00736339,-0.006013579,21,100
Market-Adjusted Model,12035,2022-08-16,0.0429311454,0.0704186301,0.0700587785,21,100
Market-Adjusted Model,12036,2022-08-16,-0.024657778,0.0038449565,0.0024698553,21,100
Market-Adjusted Model,12039,2022-08-16,-0.04572642,-0.019789442,-0.018598787,21,100
Market-Adjusted Model,12049,2022-08-16,-0.0116959,0.023090882,0.0154317327,21,100
Market-Adjusted Model,12052,2022-08-16,0.0218410229,0.0490919516,0.048968656,21,100
Market-Adjusted Model,12054,2022-08-16,-0.013607444,0.0129615242,0.0135201896,21,100
Market-Adjusted Model,12059,2022-08-16,-0.028549676,-0.003058661,-0.001422043,21,100
Market-Adjusted Model,12060,2022-08-16,-0.008839124,0.0203688695,0.0182885087,21,100
